시도,시군구,강도,살인,성범죄,절도,폭력,major_crime_type,절도_비율,폭력_비율,성범죄_비율,강도_비율,살인_비율,crime_count,risk_score,cluster,region_type,cctv_count,경찰서,파출소
경남,김해시,7,10,150,2429,2152,"절도, 폭력, 성범죄",51.2,45.3,3.2,0.1,0.2,4748,39.6,0,범죄 집중 관리 지역,6099,2,14
경남,밀양시,0,1,47,246,492,"폭력, 절도, 성범죄",31.3,62.6,6,0,0.1,786,5.6,0,범죄 집중 관리 지역,3149,1,10
경남,사천시,2,4,40,267,495,"폭력, 절도, 성범죄",33,61.3,5,0.2,0.5,808,6.8,2,치안 인프라 보완 필요 지역,,1,8
경남,양산시,1,7,91,1380,1473,"폭력, 절도, 성범죄",46.7,49.9,3.1,0,0.2,2952,25.3,0,범죄 집중 관리 지역,1427,1,12
경남,진주시,1,4,103,3046,1407,"절도, 폭력, 성범죄",66.8,30.8,2.3,0,0.1,4561,39.4,0,범죄 집중 관리 지역,1773,1,13
경남,창원시,5,14,318,3665,4318,"폭력, 절도, 성범죄",44.1,51.9,3.8,0.1,0.2,8320,72,0,범죄 집중 관리 지역,3459,5,33
경남,통영시,3,5,59,424,768,"폭력, 절도, 성범죄",33.7,61,4.7,0.2,0.4,1259,9.9,0,범죄 집중 관리 지역,2736,1,8
경남,함안군,2,0,12,89,194,"폭력, 절도, 성범죄",30,65.3,4,0.7,0,297,5,1,생활 안전 지역,1691,1,7
경남,거창군,1,1,12,128,221,"폭력, 절도, 성범죄",35.3,60.9,3.3,0.3,0.3,363,5,1,생활 안전 지역,1812,1,7
경남,창녕군,1,3,14,155,223,"폭력, 절도, 성범죄",39.1,56.3,3.5,0.3,0.8,396,5,1,생활 안전 지역,1971,1,7
경남,고성군,0,2,20,126,175,"폭력, 절도, 성범죄",39,54.2,6.2,0,0.6,323,5,1,생활 안전 지역,798,1,7
경남,하동군,1,1,12,95,158,"폭력, 절도, 성범죄",35.6,59.2,4.5,0.4,0.4,267,5,1,생활 안전 지역,2201,1,8
경남,합천군,0,0,3,99,150,"폭력, 절도, 성범죄",39.3,59.5,1.2,0,0,252,5,1,생활 안전 지역,789,1,7
경남,남해군,0,1,11,65,116,"폭력, 절도, 성범죄",33.7,60.1,5.7,0,0.5,193,5,1,생활 안전 지역,1262,1,6
경남,함양군,0,0,9,63,110,"폭력, 절도, 성범죄",34.6,60.4,4.9,0,0,182,5,1,생활 안전 지역,1179,1,7
경남,산청군,0,2,8,45,97,"폭력, 절도, 성범죄",29.6,63.8,5.3,0,1.3,152,5,1,생활 안전 지역,953,1,5
경남,의령군,0,0,7,40,126,"폭력, 절도, 성범죄",23.1,72.8,4,0,0,173,5,1,생활 안전 지역,329,1,7
제주,서귀포시,5,4,91,791,1230,"폭력, 절도, 성범죄",37.3,58,4.3,0.2,0.2,2121,18.2,0,범죄 집중 관리 지역,681,1,9
제주,제주시,6,9,267,2257,3301,"폭력, 절도, 성범죄",38.6,56.5,4.6,0.1,0.2,5840,51.1,0,범죄 집중 관리 지역,362,2,16
