시도,시군구,강도,살인,성범죄,절도,폭력,major_crime_type,절도_비율,폭력_비율,성범죄_비율,강도_비율,살인_비율,crime_count,risk_score,cluster,region_type,cctv_count,경찰서,파출소
경기도,남양주시,9,7,182,1566,2258,"폭력, 절도, 성범죄",38.9,56.1,4.5,0.2,0.2,4022,34.5,0,범죄 집중 관리 지역,1948,2,17
경기도,동두천시,4,2,55,360,558,"폭력, 절도, 성범죄",36.8,57,5.6,0.4,0.2,979,8.1,1,생활 안전 지역,645,1,5
경기도,부천시,3,11,331,3659,3866,"폭력, 절도, 성범죄",46.5,49.1,4.2,0,0.1,7870,68.4,0,범죄 집중 관리 지역,2175,3,14
경기도,성남시,5,9,323,3074,3852,"폭력, 절도, 성범죄",42.3,53,4.4,0.1,0.1,7263,62.8,0,범죄 집중 관리 지역,2954,3,23
경기도,수원시,7,17,511,5042,5230,"폭력, 절도, 성범죄",46.7,48.4,4.7,0.1,0.2,10807,93.4,0,범죄 집중 관리 지역,4933,3,23
경기도,시흥시,4,12,197,1726,2598,"폭력, 절도, 성범죄",38,57.3,4.3,0.1,0.3,4537,39,0,범죄 집중 관리 지역,2130,1,12
경기도,안산시,8,12,328,2722,3737,"폭력, 절도, 성범죄",40,54.9,4.8,0.1,0.2,6807,58.8,0,범죄 집중 관리 지역,2901,2,22
경기도,안성시,0,3,58,680,836,"폭력, 절도, 성범죄",43.1,53,3.7,0,0.2,1577,13.1,0,범죄 집중 관리 지역,1569,1,10
경기도,안양시,0,0,210,1596,1808,"폭력, 절도, 성범죄",44.2,50,5.8,0,0,3614,31,0,범죄 집중 관리 지역,1749,2,10
경기도,양주시,4,2,88,660,1075,"폭력, 절도, 성범죄",36.1,58.8,4.8,0.2,0.1,1829,15.4,0,범죄 집중 관리 지역,1200,1,10
경기도,여주시,0,0,47,298,436,"폭력, 절도, 성범죄",38.2,55.8,6,0,0,781,6.1,0,범죄 집중 관리 지역,1670,1,11
경기도,오산시,1,3,92,953,1257,"폭력, 절도, 성범죄",41.3,54.5,4,0,0.1,2306,19.8,0,범죄 집중 관리 지역,655,1,4
경기도,용인시,1,12,255,3200,3245,"폭력, 절도, 성범죄",47.7,48.3,3.8,0,0.2,6713,57.6,0,범죄 집중 관리 지역,3975,2,22
경기도,의왕시,0,1,42,237,363,"폭력, 절도, 성범죄",36.9,56.5,6.5,0,0.2,643,5.1,1,생활 안전 지역,805,1,4
경기도,의정부시,2,5,184,1475,2129,"폭력, 절도, 성범죄",38.9,56.1,4.8,0.1,0.1,3795,32.6,0,범죄 집중 관리 지역,1648,1,7
경기도,이천시,1,1,83,605,960,"폭력, 절도, 성범죄",36.7,58.2,5,0.1,0.1,1650,12.9,0,범죄 집중 관리 지역,4245,1,13
경기도,파주시,6,11,173,1421,2058,"폭력, 절도, 성범죄",38.7,56.1,4.7,0.2,0.3,3669,31.3,0,범죄 집중 관리 지역,2320,1,13
경기도,평택시,6,11,280,2436,3418,"폭력, 절도, 성범죄",39.6,55.6,4.6,0.1,0.2,6151,52.9,0,범죄 집중 관리 지역,3227,1,16
경기도,포천시,1,1,64,411,715,"폭력, 절도, 성범죄",34.5,60,5.4,0.1,0.1,1192,9.7,0,범죄 집중 관리 지역,1507,1,14
경기도,하남시,1,4,80,876,1042,"폭력, 절도, 성범죄",43.7,52,4,0,0.2,2003,16.7,0,범죄 집중 관리 지역,2228,1,7
경기도,화성시,7,14,262,2895,3483,"폭력, 절도, 성범죄",43.5,52.3,3.9,0.1,0.2,6661,58.4,2,치안 인프라 보완 필요 지역,2,2,18
경기도,연천군,0,1,13,131,278,"폭력, 절도, 성범죄",31,65.7,3.1,0,0.2,423,5,1,생활 안전 지역,595,1,7
경기도,가평군,0,1,34,139,306,"폭력, 절도, 성범죄",29,63.7,7.1,0,0.2,480,5,1,생활 안전 지역,725,1,6
경기도,양평군,0,2,40,288,483,"폭력, 절도, 성범죄",35.4,59.4,4.9,0,0.2,813,6.5,1,생활 안전 지역,1120,1,12
강원도,강릉시,1,5,77,649,1205,"폭력, 절도, 성범죄",33.5,62.2,4,0.1,0.3,1937,16.2,0,범죄 집중 관리 지역,1959,1,7
강원도,동해시,0,1,26,188,424,"폭력, 절도, 성범죄",29.4,66.4,4.1,0,0.2,639,5.1,1,생활 안전 지역,823,1,4
강원도,삼척시,0,1,21,167,296,"폭력, 절도, 성범죄",34.4,61,4.3,0,0.2,485,5,1,생활 안전 지역,480,1,8
강원도,속초시,0,0,42,264,553,"폭력, 절도, 성범죄",30.7,64.4,4.9,0,0,859,7.1,1,생활 안전 지역,442,1,2
